;USINA CEILÂNDIA SUL;;;421,38;;;493,26;;;542,67;;;341,21;;;240,52;;;275,78;;;306,14;;;383,73;;;423,17;;;397,09;;;406,86;;;523,86;;;4.755,67;
;SUSTENTARE SANEAMENTO;;;421,38;;;493,26;;;542,67;;;341,21;;;240,52;;;275,78;;;304,45;;;383,73;;;423,17;;;397,09;;;406,86;;;523,86;;;4.753,98;
;SUMA BRASIL;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;1,69;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;1,69;
;IRR SCIA QUADRA 10;;;367,85;;;310,38;;;296,11;;;298,14;;;283,42;;;287,52;;;323,43;;;310,74;;;273,73;;;278,34;;;272,71;;;209,97;;;3.512,34;
;SUMA BRASIL;;;191,76;;;256,06;;;276,71;;;281,37;;;283,42;;;271,60;;;313,24;;;298,80;;;270,67;;;275,64;;;266,09;;;197,59;;;3.182,95;
;VALOR AMBIENTAL LTDA;;;176,09;;;54,32;;;19,40;;;16,77;;;0,00;;;15,92;;;10,19;;;11,94;;;3,06;;;2,70;;;6,62;;;12,38;;;329,39;
;IRR SAAN;;;74,01;;;70,99;;;43,14;;;61,83;;;47,97;;;60,35;;;38,21;;;47,97;;;41,47;;;43,99;;;41,08;;;49,54;;;620,55;
;SUMA BRASIL;;;5,69;;;0,00;;;3,51;;;10,18;;;0,00;;;17,61;;;0,00;;;8,19;;;0,00;;;8,13;;;0,00;;;0,00;;;53,31;
;VALOR AMBIENTAL LTDA;;;68,32;;;70,99;;;39,63;;;51,65;;;47,97;;;42,74;;;38,21;;;39,78;;;41,47;;;35,86;;;41,08;;;49,54;;;567,24;
;Total Geral;;;5.156,33;;;4.627,73;;;4.554,27;;;4.808,98;;;4.691,30;;;4.479,98;;;4.934,09;;;4.814,75;;;4.660,07;;;5.268,34;;;5.083,68;;;5.707,12;;;58.786,63;
