;RECICLA MAIS;;;16,95;;;22,12;;;25,97;;;32,17;;;20,27;;;21,57;;;19,49;;;19,50;;;20,00;;;11,58;;;8,90;;;28,38;;;246,90;
;GALPÃO PRÓPRIO VARJÃO;;;72,77;;;66,25;;;65,87;;;67,38;;;64,81;;;67,22;;;67,15;;;57,86;;;66,77;;;66,79;;;86,34;;;85,91;;;835,12;
;CRV;;;72,77;;;66,25;;;65,17;;;67,38;;;64,81;;;67,22;;;67,15;;;57,86;;;66,77;;;66,79;;;86,34;;;85,91;;;834,42;
;VALOR AMBIENTAL LTDA;;;0,00;;;0,00;;;0,70;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,70;
;GALPÃO SOBRADINHO;;;146,01;;;227,22;;;171,33;;;194,64;;;188,72;;;134,36;;;174,69;;;172,13;;;201,46;;;195,66;;;177,90;;;238,22;;;2.222,34;
;COOPERDIFE;;;139,88;;;124,36;;;116,07;;;138,17;;;106,11;;;99,35;;;128,78;;;125,24;;;156,11;;;161,30;;;139,18;;;176,93;;;1.611,48;
;VALOR AMBIENTAL LTDA;;;6,13;;;102,86;;;55,26;;;56,47;;;82,61;;;35,01;;;45,91;;;46,89;;;45,35;;;34,36;;;38,72;;;61,29;;;610,86;
;IRR BRAZLÂNDIA;;;37,45;;;37,45;;;34,38;;;13,27;;;24,77;;;20,25;;;24,73;;;21,52;;;14,31;;;19,95;;;28,49;;;38,01;;;314,58;
;VALOR AMBIENTAL LTDA;;;0,00;;;0,00;;;3,59;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;3,59;
;CRB;;;37,45;;;37,45;;;30,79;;;13,27;;;24,77;;;20,25;;;24,73;;;21,52;;;14,31;;;19,95;;;28,49;;;38,01;;;310,99;
;IRR P SUL;;;729,73;;;733,51;;;639,87;;;657,64;;;429,93;;;399,75;;;572,85;;;536,02;;;612,95;;;546,22;;;584,38;;;602,04;;;7.044,89;
;SUSTENTARE SANEAMENTO;;;666,55;;;673,60;;;572,89;;;584,84;;;359,43;;;351,62;;;514,67;;;481,05;;;545,40;;;476,80;;;530,40;;;509,02;;;6.266,27;
;VALOR AMBIENTAL LTDA;;;0,00;;;0,00;;;0,00;;;4,69;;;0,00;;;0,00;;;0,79;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;5,48;
;SUMA BRASIL;;;0,00;;;0,00;;;0,00;;;5,34;;;9,48;;;0,00;;;0,00;;;0,00;;;8,01;;;10,56;;;0,00;;;0,00;;;33,39;
;COOPERE;;;32,12;;;29,26;;;31,58;;;28,87;;;24,62;;;24,43;;;30,01;;;28,43;;;29,35;;;27,51;;;25,24;;;36,29;;;347,71;
;PLASFERRO;;;31,06;;;30,65;;;35,40;;;33,90;;;36,40;;;23,70;;;27,38;;;26,54;;;30,19;;;31,35;;;28,74;;;56,73;;;392,04;
;IRR PARANOÁ;;;141,96;;;136,98;;;145,73;;;177,01;;;152,69;;;160,98;;;177,14;;;161,96;;;174,14;;;150,82;;;155,09;;;167,24;;;1.901,74;
;VALOR AMBIENTAL LTDA;;;0,00;;;4,07;;;0,00;;;0,00;;;0,00;;;1,49;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;5,56;
