;;;;;;;;;;;;;;;LIMA;
51/2018;TECNOLTA EQUIPAMENTOS ELETRÔNICOS;;;01/07/2019;;;SERVIÇOS OUTSOURCING DE IMPRESSÃO;;;30/06/2023;;;R$ 142.357,02;FERNANDO SABINO AMORIM/ ANTONIO JOSÉ CORREA;FERNANDO SABINO AMORIM/;
61/2018;NEOENERGIA DISTRIBUICAO BRASILIA S.A;;;23/11/2018;;;IRR P SUL - CEILÂNDIA;;;29/11/2023;;;VALOR GLOBAL R$ 76.800,00;DELIVAL LEMOS DE SOUZA E GILDAIRES APARECIDO SOBRINHO;;
62/2018;NEOENERGIA DISTRIBUICAO BRASILIA S.A;;;23/11/2018;;;IRR SCIA - BRASÍLIA;;;29/11/2023;;;VALOR GLOBAL R$ 76.800,00;GILDAIRES APARECIDO SOBRINHO EDELIVAL LEMOS DE SOUZA;;
;;BRASILIA S.A;;;;;;;;;;;;;;
63/2018;;CENTRO BRASILEIRO DE;;21/12/2018;;;CONCURSO PÚBLICO;;;21/12/2023;;;R$ 0,00;PATRICIA LEMOS XAVIER/CLAUDIA DE SOUSA RAMALHO;;
;;PESQUISA EM AVALIAÇÃO E;;;;;;;;;;;;;;
;;SEÇÃO E DE PROMOÇÃO DE;;;;;;;;;;;;;;
;;EVENTOS - CEBRASPE;;;;;;;;;;;;;;
20/2019;;EMPRESA BRASILEIRA DE;;10/06/2019;;;;FORNECIMENTO DE SERVIÇO DE VENDAS DE;;10/06/2023;;;R$ 19.200,00;;RUBENS BARROZO DA SILVA / ROGER;
;;CORREIOS E TELEGRAFOS - ECT;;;;;;PRODUTOS DE CORREIOS;;;;;;;FRAGOSO SOUZA;
25/2019;COMBUSTÍVEIS GOLDI;;;09/12/2019;;;ABASTECIMENTO DE VEÍCULOS;;;10/12/2023;;;MENSAL: R$ 46.488,00 ANUAL: R$ 557.856,00;;LUÍS FERNANDO MONTEIRO BARBOSA;
;;;;;;;;;;;;;;;E KEVEN WILLIAM NASCIMENTO DA;
;;;;;;;;;;;;;;;SILVA;
02/2020;CS BRASIL FROTAS LTDA;;;29/01/2020;;;LOCAÇÃO DE VEÍCULOS AUTOMOTORES;;;29/01/2023;;;R$ 728.232,00;;LUÍS FERNANDO MONTEIRO BARBOSA;
;;;;;;;;;;;;;;;E KEVEN WILLIAM NASCIMENTO DA;
;;;;;;;;;;;;;;;SILVA;
